Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,Reti,Assist,G+A,Amm.,Esp.,xG,npxG,xAG
1,Tammy Abraham,ENG,Att,Roma,26,1997,6,1,172,1,0,1,1,0,0.5,0.5,0.1
2,Francesco Acerbi,ITA,Dif,Inter,36,1988,27,24,"2,208",3,1,4,1,0,1.6,1.6,1.7
3,Yacine Adli,FRA,Cen,Milan,23,2000,23,17,"1,375",1,2,3,3,0,0.3,0.3,2.1
4,Michel Aebischer,SUI,Cen,Bologna,27,1997,35,25,"2,140",0,1,1,7,0,1.1,1.1,1.5
5,Lucien Agoume,FRA,Cen,Inter,22,2002,1,0,5,0,0,0,0,0,0.0,0.0,0.0
6,Marley Aké,FRA,Att,Udinese,23,2001,1,0,10,0,0,0,0,0,0.0,0.0,0.0
7,Ebenezer Akinsanmiro,NGA,Cen,Inter,19,2004,1,0,15,0,0,0,0,0,0.0,0.0,0.0
8,Jean-Daniel Akpa-Akpro,CIV,Cen,Monza,31,1992,19,8,705,0,0,0,5,0,0.5,0.5,0.1
9,David Akpan Ankeye,NGA,Att,Genoa,22,2002,5,0,56,0,0,0,0,0,,,
10,Luis Alberto,ESP,Cen,Lazio,31,1992,32,29,"2,292",5,7,12,7,0,4.7,4.7,4.7
11,Carlos Alcaraz,ARG,Cen,Juventus,21,2002,8,2,245,0,1,1,0,0,0.3,0.3,0.1
12,Pontus Almqvist,SWE,Att,Lecce,24,1999,29,24,"2,052",2,1,3,5,0,2.3,2.3,2.6
13,Lorenzo Amatucci,ITA,Cen,Fiorentina,20,2004,2,0,22,0,0,0,0,0,0.0,0.0,0.0
14,Bruno Amione,ARG,Dif,Hellas Verona,22,2002,10,7,579,0,0,0,2,0,0.3,0.3,0.0
15,Felipe Anderson,BRA,Att,Lazio,31,1993,36,33,"2,713",5,6,11,3,0,4.3,4.3,6.3
16,Angeliño,ESP,Dif,Roma,27,1997,14,12,971,0,0,0,2,0,0.1,0.1,1.1
17,Houssem Aouar,ALG,Cen,Roma,25,1998,15,8,687,3,0,3,3,0,2.0,2.0,0.4
18,Marko Arnautović,AUT,Att,Inter,35,1989,26,4,746,3,3,6,0,0,4.3,4.3,2.6
19,Kristjan Asllani,ALB,Cen,Inter,22,2002,22,6,764,1,2,3,1,0,0.6,0.6,1.1
20,Emil Audero,ITA,Por,Inter,27,1997,3,3,270,0,0,0,0,0,0.0,0.0,0.0
21,Tommaso Augello,ITA,Dif,Cagliari,29,1994,30,26,"2,243",1,1,2,5,0,0.5,0.5,1.9
22,Carlos Augusto,BRA,Dif,Inter,25,1999,35,13,"1,608",0,3,3,1,0,1.0,1.0,2.2
23,Yann Aurel Bisseck,GER,Dif,Inter,23,2000,15,8,814,2,0,2,0,0,0.9,0.9,0.5
24,Sardar Azmoun,IRN,Att,Roma,29,1995,22,3,564,3,0,3,4,0,2.9,2.9,1.2
25,Paulo Azzi,BRA,Dif,Cagliari,29,1994,25,9,950,0,0,0,1,0,1.2,1.2,0.7
26,Oussama El Azzouzi,MAR,Cen,Bologna,22,2001,16,4,442,2,2,4,3,0,0.5,0.5,0.6
27,Milan Badelj,CRO,Cen,Genoa,35,1989,32,31,"2,455",1,3,4,6,0,1.4,1.4,1.1
28,Jaime Báez,URU,Att,Frosinone,29,1995,10,6,499,1,0,1,1,0,0.5,0.5,0.5
29,Nedim Bajrami,ALB,Cen,Sassuolo,25,1999,28,15,"1,310",2,2,4,0,0,2.5,2.5,2.2
30,Mitchel Bakker,NED,Dif,Atalanta,23,2000,13,3,366,1,0,1,1,0,0.2,0.2,0.1
31,Tommaso Baldanzi,ITA,Cen,Empoli,21,2003,14,8,745,2,0,2,1,0,2.1,2.1,1.0
33,Lameck Banda,ZAM,Att,Lecce,23,2001,21,17,"1,350",2,4,6,5,1,3.6,3.6,1.9
34,Daniel Bandeira,POR,Cen,Hellas Verona,24,2000,12,3,419,0,0,0,2,0,0.1,0.1,0.2
35,Mattia Bani,ITA,Dif,Genoa,30,1993,27,27,"2,306",2,0,2,9,0,1.2,1.2,0.1
36,Antonín Barák,CZE,Cen,Fiorentina,29,1994,19,7,715,2,3,5,2,0,1.5,1.5,2.1
37,Nicolò Barella,ITA,Cen,Inter,27,1997,35,32,"2,689",2,3,5,6,0,4.9,4.9,3.3
38,Enzo Barrenechea,ARG,Cen,Frosinone,22,2001,34,30,"2,636",0,1,1,10,0,0.6,0.6,1.6
39,Davide Bartesaghi,ITA,Dif,Milan,18,2005,6,0,79,0,0,0,0,0,0.0,0.0,0.0
40,Federico Baschirotto,ITA,Dif,Lecce,27,1996,35,35,"3,114",0,1,1,3,1,1.7,1.5,0.7
41,Toma Bašić,CRO,Cen,Salernitana,27,1996,14,13,"1,072",0,0,0,4,0,0.6,0.6,0.5
42,Alessandro Bastoni,ITA,Dif,Inter,25,1999,27,27,"2,205",1,3,4,5,0,1.2,1.2,3.3
43,Simone Bastoni,ITA,Cen,Empoli,27,1996,14,7,633,1,0,1,2,0,0.3,0.3,0.4
44,Reda Belahyane,FRA,Cen,Hellas Verona,19,2004,1,0,17,0,0,0,0,0,0.0,0.0,0.0
45,Raoul Bellanova,ITA,Dif,Torino,23,2000,35,34,"2,903",1,6,7,5,0,2.0,2.0,4.7
46,Andrea Belotti,ITA,Att,Fiorentina,30,1993,12,9,762,1,0,1,0,0,2.5,2.5,0.7
48,Lucas Beltrán,ARG,Att,Fiorentina,23,2001,29,19,"1,521",6,2,8,6,0,3.6,2.8,1.5
49,Ismaël Bennacer,ALG,Cen,Milan,26,1997,18,11,984,1,2,3,2,0,0.8,0.8,2.0
50,Domenico Berardi,ITA,Att,Sassuolo,29,1994,17,17,"1,431",9,3,12,6,0,6.5,2.6,3.0
51,Bartosz Bereszyński,POL,Dif,Empoli,31,1992,22,20,"1,638",0,1,1,3,0,0.1,0.1,0.3
52,Etrit Berisha,ALB,Por,Empoli,35,1989,14,14,"1,260",0,0,0,0,0,0.0,0.0,0.0
53,Medon Berisha,ALB,Cen,Lecce,20,2003,4,0,76,0,0,0,0,0,0.0,0.0,0.1
54,Victor Bernth Kristiansen,DEN,Dif,Bologna,21,2002,31,25,"2,217",0,3,3,4,0,0.3,0.3,2.4
55,Beto,GNB,Att,Udinese,26,1998,1,1,74,0,0,0,0,0,0.0,0.0,0.3
