match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 38,04/06/2023,False,False,False,Atalanta,Monza,5,2,0.38,0.62,20,8,10,4,0.38,0.62,0.63,0.05,0.32,24244,Gewiss Stadium,"[{'player_name': ' Højlund', 'player_number': '17'}, {'player_name': ' Koopmeiners', 'player_number': '7'}, {'player_name': ' Pašalić', 'player_number': '88'}, {'player_name': ' Mæhle', 'player_number': '3'}, {'player_name': ' Éderson', 'player_number': '13'}, {'player_name': ' De Roon', 'player_number': '15'}, {'player_name': ' Zappacosta', 'player_number': '77'}, {'player_name': ' Scalvini', 'player_number': '42'}, {'player_name': ' Djimsiti', 'player_number': '19'}, {'player_name': ' Tolói', 'player_number': '2'}, {'player_name': ' Sportiello', 'player_number': '57'}]","[{'player_name': ' Mota', 'player_number': '47'}, {'player_name': ' Caprari', 'player_number': '17'}, {'player_name': ' Colpani', 'player_number': '28'}, {'player_name': ' Carlos', 'player_number': '30'}, {'player_name': ' Rovella', 'player_number': '6'}, {'player_name': ' Pessina', 'player_number': '32'}, {'player_name': ' Ciurria', 'player_number': '84'}, {'player_name': ' Caldirola', 'player_number': '5'}, {'player_name': ' Pablo Marí', 'player_number': '3'}, {'player_name': ' Izzo', 'player_number': '55'}, {'player_name': ' Di Gregorio', 'player_number': '16'}]","['Højlund', 'Koopmeiners', 'Pašalić', 'Mæhle', 'Éderson', 'De Roon', 'Zappacosta', 'Scalvini', 'Djimsiti', 'Tolói', 'Sportiello']","['17', '7', '88', '3', '13', '15', '77', '42', '19', '2', '57']","['Mota', 'Caprari', 'Colpani', 'Carlos', 'Rovella', 'Pessina', 'Ciurria', 'Caldirola', 'Pablo Marí', 'Izzo', 'Di Gregorio']","['47', '17', '28', '30', '6', '32', '84', '5', '3', '55', '16']"
2,Matchday 38,04/06/2023,False,False,False,Roma,Spezia,2,1,0.69,0.31,19,8,5,2,0.58,0.42,0.8,0.04,0.16,49379,Olimpico,"[{'player_name': ' El Shaarawy', 'player_number': '92'}, {'player_name': ' Belotti', 'player_number': '11'}, {'player_name': ' Dybala', 'player_number': '21'}, {'player_name': ' Pellegrini', 'player_number': '7'}, {'player_name': ' Cristante', 'player_number': '4'}, {'player_name': ' Bove', 'player_number': '52'}, {'player_name': ' Zalewski', 'player_number': '59'}, {'player_name': ' Smalling', 'player_number': '6'}, {'player_name': ' Mancini', 'player_number': '23'}, {'player_name': ' Çelik', 'player_number': '19'}, {'player_name': ' Svilar', 'player_number': '99'}]","[{'player_name': ' Nzola', 'player_number': '18'}, {'player_name': ' Gyasi', 'player_number': '11'}, {'player_name': ' Reca', 'player_number': '13'}, {'player_name': ' Bourabia', 'player_number': '6'}, {'player_name': ' Esposito', 'player_number': '25'}, {'player_name': ' Żurkowski', 'player_number': '77'}, {'player_name': ' Amian', 'player_number': '27'}, {'player_name': ' Nikolaou', 'player_number': '43'}, {'player_name': ' Ampadu', 'player_number': '4'}, {'player_name': ' Wisniewski', 'player_number': '55'}, {'player_name': ' Zoet', 'player_number': '1'}]","['El Shaarawy', 'Belotti', 'Dybala', 'Pellegrini', 'Cristante', 'Bove', 'Zalewski', 'Smalling', 'Mancini', 'Çelik', 'Svilar']","['92', '11', '21', '7', '4', '52', '59', '6', '23', '19', '99']","['Nzola', 'Gyasi', 'Reca', 'Bourabia', 'Esposito', 'Żurkowski', 'Amian', 'Nikolaou', 'Ampadu', 'Wisniewski', 'Zoet']","['18', '11', '13', '6', '25', '77', '27', '43', '4', '55', '1']"
3,Matchday 38,04/06/2023,False,False,False,Milan,Hellas Verona,3,1,0.79,0.21,14,6,5,1,0.54,0.46,0.85,0.03,0.12,68440,Giuseppe Meazza,"[{'player_name': ' Giroud', 'player_number': '9'}, {'player_name': ' Leão', 'player_number': '17'}, {'player_name': ' Diaz', 'player_number': '10'}, {'player_name': ' Messias', 'player_number': '30'}, {'player_name': ' Tonali', 'player_number': '8'}, {'player_name': ' Krunic', 'player_number': '33'}, {'player_name': ' Hernandez', 'player_number': '19'}, {'player_name': ' Tomori', 'player_number': '23'}, {'player_name': ' Thiaw', 'player_number': '28'}, {'player_name': ' Calabria', 'player_number': '2'}, {'player_name': ' Maignan', 'player_number': '16'}]","[{'player_name': ' Duric', 'player_number': '19'}, {'player_name': ' Ngonge', 'player_number': '26'}, {'player_name': ' Depaoli', 'player_number': '29'}, {'player_name': ' Suleman Kakari', 'player_number': '77'}, {'player_name': ' Veloso', 'player_number': '4'}, {'player_name': ' Tameze', 'player_number': '61'}, {'player_name': ' Faraoni', 'player_number': '5'}, {'player_name': ' Cabal', 'player_number': '32'}, {'player_name': ' Hien', 'player_number': '6'}, {'player_name': ' Magnani', 'player_number': '23'}, {'player_name': ' Montipò', 'player_number': '1'}]","['Giroud', 'Leão', 'Diaz', 'Messias', 'Tonali', 'Krunic', 'Hernandez', 'Tomori', 'Thiaw', 'Calabria', 'Maignan']","['9', '17', '10', '30', '8', '33', '19', '23', '28', '2', '16']","['Duric', 'Ngonge', 'Depaoli', 'Suleman Kakari', 'Veloso', 'Tameze', 'Faraoni', 'Cabal', 'Hien', 'Magnani', 'Montipò']","['19', '26', '29', '77', '4', '61', '5', '32', '6', '23', '1']"
4,Matchday 38,04/06/2023,False,False,False,Lecce,Bologna,2,3,0.38,0.62,20,11,7,7,0.62,0.39,0.39,0.08,0.53,16155,Via Del Mare,"[{'player_name': ' Banda', 'player_number': '22'}, {'player_name': ' Colombo', 'player_number': '9'}, {'player_name': ' Strefezza', 'player_number': '27'}, {'player_name': ' Oudin', 'player_number': '28'}, {'player_name': ' Hjulmand', 'player_number': '42'}, {'player_name': ' Blin', 'player_number': '29'}, {'player_name': ' Gallo', 'player_number': '25'}, {'player_name': ' Umtiti', 'player_number': '93'}, {'player_name': ' Baschirotto', 'player_number': '6'}, {'player_name': ' Gendrey', 'player_number': '17'}, {'player_name': ' Falcone', 'player_number': '30'}]","[{'player_name': ' Arnautovic', 'player_number': '9'}, {'player_name': ' Barrow', 'player_number': '99'}, {'player_name': ' Aebischer', 'player_number': '20'}, {'player_name': ' Orsolini', 'player_number': '7'}, {'player_name': ' Moro', 'player_number': '6'}, {'player_name': ' Medel', 'player_number': '17'}, {'player_name': ' Cambiaso', 'player_number': '50'}, {'player_name': ' Lucumí', 'player_number': '26'}, {'player_name': ' Bonifazi', 'player_number': '14'}, {'player_name': ' Posch', 'player_number': '3'}, {'player_name': ' Skorupski', 'player_number': '28'}]","['Banda', 'Colombo', 'Strefezza', 'Oudin', 'Hjulmand', 'Blin', 'Gallo', 'Umtiti', 'Baschirotto', 'Gendrey', 'Falcone']","['22', '9', '27', '28', '42', '29', '25', '93', '6', '17', '30']","['Arnautovic', 'Barrow', 'Aebischer', 'Orsolini', 'Moro', 'Medel', 'Cambiaso', 'Lucumí', 'Bonifazi', 'Posch', 'Skorupski']","['9', '99', '20', '7', '6', '17', '50', '26', '14', '3', '28']"
5,Matchday 38,04/06/2023,False,False,False,Udinese,Juventus,0,1,0.42,0.58,13,20,3,5,0.52,0.48,0.14,0.04,0.82,89704,Dacia Arena,"[{'player_name': ' Beto', 'player_number': '9'}, {'player_name': ' Lovric', 'player_number': '4'}, {'player_name': ' Thauvin', 'player_number': '26'}, {'player_name': ' Udogie', 'player_number': '13'}, {'player_name': ' Walace', 'player_number': '11'}, {'player_name': ' Samardzic', 'player_number': '24'}, {'player_name': ' Pereyra', 'player_number': '37'}, {'player_name': ' Guessand', 'player_number': '67'}, {'player_name': ' Pérez', 'player_number': '18'}, {'player_name': ' Abankwah', 'player_number': '14'}, {'player_name': ' Silvestri', 'player_number': '1'}]","[{'player_name': ' Milik', 'player_number': '14'}, {'player_name': ' Miretti', 'player_number': '20'}, {'player_name': ' Chiesa', 'player_number': '7'}, {'player_name': ' Kostić', 'player_number': '17'}, {'player_name': ' Locatelli', 'player_number': '5'}, {'player_name': ' Rabiot', 'player_number': '25'}, {'player_name': ' Cuadrado', 'player_number': '11'}, {'player_name': ' Danilo', 'player_number': '6'}, {'player_name': ' Bonucci', 'player_number': '19'}, {'player_name': ' Gatti', 'player_number': '15'}, {'player_name': ' Szczęsny', 'player_number': '1'}]","['Beto', 'Lovric', 'Thauvin', 'Udogie', 'Walace', 'Samardzic', 'Pereyra', 'Guessand', 'Pérez', 'Abankwah', 'Silvestri']","['9', '4', '26', '13', '11', '24', '37', '67', '18', '14', '1']","['Milik', 'Miretti', 'Chiesa', 'Kostić', 'Locatelli', 'Rabiot', 'Cuadrado', 'Danilo', 'Bonucci', 'Gatti', 'Szczęsny']","['14', '20', '7', '17', '5', '25', '11', '6', '19', '15', '1']"
6,Matchday 38,04/06/2023,False,False,False,Napoli,Sampdoria,2,0,0.74,0.26,21,6,9,4,0.47,0.54,0.87,0.03,0.1,62993,Diego Armando Maradona,"[{'player_name': ' Kvaratskhelia', 'player_number': '77'}, {'player_name': ' Osimhen', 'player_number': '9'}, {'player_name': ' Elmas', 'player_number': '7'}, {'player_name': ' Zieliński', 'player_number': '20'}, {'player_name': ' Lobotka', 'player_number': '68'}, {'player_name': ' Zambo Anguissa', 'player_number': '99'}, {'player_name': ' Rui', 'player_number': '6'}, {'player_name': ' Østigård', 'player_number': '55'}, {'player_name': ' Rrahmani', 'player_number': '13'}, {'player_name': ' Di Lorenzo', 'player_number': '22'}, {'player_name': ' Meret', 'player_number': '1'}]","[{'player_name': ' Quagliarella', 'player_number': '27'}, {'player_name': ' Léris', 'player_number': '37'}, {'player_name': ' Augello', 'player_number': '3'}, {'player_name': ' Paoletti', 'player_number': '36'}, {'player_name': ' Rincon', 'player_number': '8'}, {'player_name': ' Gabbiadini', 'player_number': '23'}, {'player_name': ' Murru', 'player_number': '29'}, {'player_name': ' Amione', 'player_number': '2'}, {'player_name': ' Günter', 'player_number': '4'}, {'player_name': ' Zanoli', 'player_number': '59'}, {'player_name': ' Turk', 'player_number': '22'}]","['Kvaratskhelia', 'Osimhen', 'Elmas', 'Zieliński', 'Lobotka', 'Zambo Anguissa', 'Rui', 'Østigård', 'Rrahmani', 'Di Lorenzo', 'Meret']","['77', '9', '7', '20', '68', '99', '6', '55', '13', '22', '1']","['Quagliarella', 'Léris', 'Augello', 'Paoletti', 'Rincon', 'Gabbiadini', 'Murru', 'Amione', 'Günter', 'Zanoli', 'Turk']","['27', '37', '3', '36', '8', '23', '29', '2', '4', '59', '22']"
7,Matchday 38,03/06/2023,False,False,False,Empoli,Lazio,0,2,0.46,0.54,7,21,1,11,0.46,0.54,0.18,0.05,0.77,22023,Carlo Castellani,"[{'player_name': ' Piccoli', 'player_number': '91'}, {'player_name': ' Cambiaghi', 'player_number': '28'}, {'player_name': ' Fazzini', 'player_number': '21'}, {'player_name': ' Akpa', 'player_number': '11'}, {'player_name': ' Bandinelli', 'player_number': '25'}, {'player_name': ' Grassi', 'player_number': '5'}, {'player_name': ' Cacace', 'player_number': '3'}, {'player_name': ' Luperto', 'player_number': '33'}, {'player_name': ' Walukiewicz', 'player_number': '4'}, {'player_name': ' Stojanovic', 'player_number': '30'}, {'player_name': ' Vicario', 'player_number': '13'}]","[{'player_name': ' Pedro', 'player_number': '9'}, {'player_name': ' Immobile', 'player_number': '17'}, {'player_name': ' Anderson', 'player_number': '7'}, {'player_name': ' Alberto', 'player_number': '10'}, {'player_name': ' Vecino', 'player_number': '5'}, {'player_name': ' Milinković-Savić', 'player_number': '21'}, {'player_name': ' Pellegrini', 'player_number': '3'}, {'player_name': ' Romagnoli', 'player_number': '13'}, {'player_name': ' Gabarron', 'player_number': '4'}, {'player_name': ' Hysaj', 'player_number': '23'}, {'player_name': ' Provedel', 'player_number': '94'}]","['Piccoli', 'Cambiaghi', 'Fazzini', 'Akpa', 'Bandinelli', 'Grassi', 'Cacace', 'Luperto', 'Walukiewicz', 'Stojanovic', 'Vicario']","['91', '28', '21', '11', '25', '5', '3', '33', '4', '30', '13']","['Pedro', 'Immobile', 'Anderson', 'Alberto', 'Vecino', 'Milinković-Savić', 'Pellegrini', 'Romagnoli', 'Gabarron', 'Hysaj', 'Provedel']","['9', '17', '7', '10', '5', '21', '3', '13', '4', '23', '94']"
8,Matchday 38,03/06/2023,False,False,False,Cremonese,Salernitana,2,0,0.41,0.59,12,11,4,1,0.53,0.47,0.28,0.08,0.64,15241,Giovanni Zini,"[{'player_name': ' Ciofani', 'player_number': '9'}, {'player_name': ' Buonaiuto', 'player_number': '10'}, {'player_name': ' Valeri', 'player_number': '3'}, {'player_name': ' Galdames', 'player_number': '27'}, {'player_name': ' Meite', 'player_number': '28'}, {'player_name': ' Pickel', 'player_number': '6'}, {'player_name': ' Ghiglione', 'player_number': '18'}, {'player_name': ' Vásquez', 'player_number': '5'}, {'player_name': ' Chiriches', 'player_number': '21'}, {'player_name': ' Aiwu', 'player_number': '4'}, {'player_name': ' Sarr', 'player_number': '45'}]","[{'player_name': ' Piątek', 'player_number': '99'}, {'player_name': ' Botheim', 'player_number': '11'}, {'player_name': ' Candreva', 'player_number': '87'}, {'player_name': ' Mazzocchi', 'player_number': '30'}, {'player_name': ' Coulibaly', 'player_number': '18'}, {'player_name': ' Bohinen', 'player_number': '8'}, {'player_name': ' Kastanos', 'player_number': '20'}, {'player_name': ' Pirola', 'player_number': '98'}, {'player_name': ' Gyomber', 'player_number': '23'}, {'player_name': ' Daniliuc', 'player_number': '5'}, {'player_name': ' Ochoa', 'player_number': '13'}]","['Ciofani', 'Buonaiuto', 'Valeri', 'Galdames', 'Meite', 'Pickel', 'Ghiglione', 'Vásquez', 'Chiriches', 'Aiwu', 'Sarr']","['9', '10', '3', '27', '28', '6', '18', '5', '21', '4', '45']","['Piątek', 'Botheim', 'Candreva', 'Mazzocchi', 'Coulibaly', 'Bohinen', 'Kastanos', 'Pirola', 'Gyomber', 'Daniliuc', 'Ochoa']","['99', '11', '87', '30', '18', '8', '20', '98', '23', '5', '13']"
9,Matchday 38,03/06/2023,False,False,False,Torino,Inter,0,1,0.4,0.6,17,14,5,4,0.46,0.54,0.16,0.04,0.8,68919,Olimpico Grande Torino,"[{'player_name': ' Vlašić', 'player_number': '16'}, {'player_name': ' Sanabria', 'player_number': '9'}, {'player_name': ' Miranchuk', 'player_number': '59'}, {'player_name': ' Vojvoda', 'player_number': '27'}, {'player_name': ' Ilić', 'player_number': '8'}, {'player_name': ' Ricci', 'player_number': '28'}, {'player_name': ' Singo', 'player_number': '17'}, {'player_name': ' Rodríguez', 'player_number': '13'}, {'player_name': ' Buongiorno', 'player_number': '4'}, {'player_name': ' Schuurs', 'player_number': '3'}, {'player_name': ' Milinković-Savić', 'player_number': '32'}]","[{'player_name': ' Martínez', 'player_number': '10'}, {'player_name': ' Lukaku', 'player_number': '90'}, {'player_name': ' Gosens', 'player_number': '8'}, {'player_name': ' Calhanoglu', 'player_number': '20'}, {'player_name': ' Brozović', 'player_number': '77'}, {'player_name': ' Gagliardini', 'player_number': '5'}, {'player_name': ' Dumfries', 'player_number': '2'}, {'player_name': ' Bastoni', 'player_number': '95'}, {'player_name': ' De Vrij', 'player_number': '6'}, {'player_name': ' Darmian', 'player_number': '36'}, {'player_name': ' Handanovic', 'player_number': '1'}]","['Vlašić', 'Sanabria', 'Miranchuk', 'Vojvoda', 'Ilić', 'Ricci', 'Singo', 'Rodríguez', 'Buongiorno', 'Schuurs', 'Milinković-Savić']","['16', '9', '59', '27', '8', '28', '17', '13', '4', '3', '32']","['Martínez', 'Lukaku', 'Gosens', 'Calhanoglu', 'Brozović', 'Gagliardini', 'Dumfries', 'Bastoni', 'De Vrij', 'Darmian', 'Handanovic']","['10', '90', '8', '20', '77', '5', '2', '95', '6', '36', '1']"
10,Matchday 38,02/06/2023,False,False,False,Sassuolo,Fiorentina,1,3,0.52,0.48,5,15,2,7,0.5,0.5,0.24,0.06,0.7,29605,MAPEI Stadium - Città del Tricolore,"[{'player_name': ' Ceïde', 'player_number': '15'}, {'player_name': ' Pinamonti', 'player_number': '9'}, {'player_name': ' Berardi', 'player_number': '10'}, {'player_name': ' de Souza', 'player_number': '7'}, {'player_name': ' Lopez', 'player_number': '27'}, {'player_name': ' Harroui', 'player_number': '8'}, {'player_name': ' Rogério', 'player_number': '6'}, {'player_name': ' Ferrari', 'player_number': '13'}, {'player_name': ' Ruan', 'player_number': '44'}, {'player_name': ' Toljan', 'player_number': '22'}, {'player_name': ' Russo', 'player_number': '64'}]","[{'player_name': ' Kouamé', 'player_number': '99'}, {'player_name': ' Arthur Cabral', 'player_number': '9'}, {'player_name': ' Ikoné', 'player_number': '11'}, {'player_name': ' Duncan', 'player_number': '32'}, {'player_name': ' Amrabat', 'player_number': '34'}, {'player_name': ' Castrovilli', 'player_number': '10'}, {'player_name': ' Terzic', 'player_number': '15'}, {'player_name': ' Ranieri', 'player_number': '16'}, {'player_name': ' Martínez Quarta', 'player_number': '28'}, {'player_name': ' Dodô', 'player_number': '2'}, {'player_name': ' Cerofolini', 'player_number': '31'}]","['Ceïde', 'Pinamonti', 'Berardi', 'de Souza', 'Lopez', 'Harroui', 'Rogério', 'Ferrari', 'Ruan', 'Toljan', 'Russo']","['15', '9', '10', '7', '27', '8', '6', '13', '44', '22', '64']","['Kouamé', 'Arthur Cabral', 'Ikoné', 'Duncan', 'Amrabat', 'Castrovilli', 'Terzic', 'Ranieri', 'Martínez Quarta', 'Dodô', 'Cerofolini']","['99', '9', '11', '32', '34', '10', '15', '16', '28', '2', '31']"
